segmento,categoria,player,funcion_core,fuentes_validaciones,pld_aml_nativo,pricing_tipico,rol_vs_intelligential,mensaje_ataque,riesgo_regulatorio_si_se_quedan
Onboarding & KYC,Identidad,Incode Technologies,"Biometria de identidad, KYC/KYB, fraude","INE biometrico, documentos oficiales, listas AML",Si,"USD 1-5 por verificacion","Proveedor de identidad, no core ni expediente","Un solo vendor no resuelve ciclo de credito, necesitas core + PLD + flujo digital","Dependencia de integraciones externas para PLD y core; mayor riesgo operativo"
Onboarding & KYC,Identidad,MetaMap,"Verificacion de identidad KYC + AML","INE, biometria, CURP/RFC/CLABE, listas AML",Si,"USD 0.5-5 por verificacion","Complemento de onboarding standalone","Puedes integrar sus checks dentro de un core unificado","Si solo usan MetaMap, PLD y core quedan fragmentados y con datos duplicados"
Onboarding & KYC,Identidad,Nufi,"Onboarding digital, validacion de identidad","INE, RENAPO (CURP), SAT (RFC), CLABE",Parcial,"MXN 3-15 por validacion INE","Onboarding completo pero desconectado de core y PLD nativo","Ofrecer ciclo completo: solicitud, KYC y administracion de cartera","Uso aislado de KYC sin PLD embebido aumenta riesgo de sanciones y errores manuales"
Onboarding & KYC,Identidad,Truora,"KYC + flujos en WhatsApp","Docs, biometria, mensajeria WhatsApp",Parcial,"Por verificacion/uso","Onboarding conversacional, sin core ni PLD","Intelligential puede orquestar canales y procesos sobre un core solido","KYC distribuido en canales sin trazabilidad central; dificulta auditorias"
Onboarding & KYC,Identidad,FacePhi,"Biometria facial para bancos","Selfie/rostro, liveness",No,"Enterprise SaaS","Proveedor de autenticacion puntual","Intelligential integra biometria como parte del onboarding completo","Biometria sin contexto de PLD/FT ni scoring limita cobertura regulatoria"
Onboarding & KYC,Identidad,Jumio,"KYC digital, eKYC/eIDV","Documentos, biometria, bases publicas",Si,"Enterprise por verificacion","Vendor global de KYC, no especializado en Mexico","Intelligential ofrece fuentes locales (SAT, RENAPO) embebidas al core","Modelo global puede no cubrir particularidades regulatorias mexicanas"
Onboarding & KYC,Riesgo,Circulo de Credito,"Buró y scoring","Historial de credito y scoring","No directo","Por consulta","Fuente de riesgo crediticio utilizada por varias plataformas","Intelligential consume buró como parte de motor de riesgo integrado","Usar buró sin motor PLD integrado deja huecos en monitoreo de operaciones"
Onboarding & KYC,Expediente,Expediente Azul,"Gestion digital de expedientes","Documentos, flujos de aprobacion",No,"MXN 5K-80K/mes","Herramienta de expediente aislado","Intelligential integra expediente dentro de la solicitud digital y el core","Expediente desconectado del core dificulta trazabilidad y control PLD"
Onboarding & KYC,PLD/Onboarding,Moffin,"Buró + validaciones ID + PLD","INE/CURP/RFC, buró de credito, listas PLD",Si,"MXN 5K-10K/mes","Modulo PLD/onboarding que requiere core externo","Intelligential ofrece PLD/FT embebido en el core financiero","Separar PLD del core genera fricciones y posibles errores de datos"
Onboarding & KYC,Datos/Open Finance,Kiban,"Hub Open Finance, agregacion bancaria y datos","APIs bancarias, SAT, IMSS, burós","No directo","MXN 5K-40K/mes","Complemento de datos que se monta sobre otros cores","Intelligential puede consumir Kiban como fuente extra dentro de su motor","Uso de agregador sin core preparado para PLD/FT puede subutilizar los datos"
Onboarding & KYC,Onboarding/Core,Lendia,"Probable core/onboarding lending","Sin datos publicos claros","No claro","No publicado","Competidor difuso en lending digital","Enfatizar claridad de propuesta Smart Native® y cumplimiento local","Falta de transparencia funcional y regulatoria puede ser riesgo en auditorias"
Core internacional,Core,Mambu,"Core cloud-native para fintechs","Datos transaccionales y cartera, sin KYC nativo",No,"USD 0.5-5/cuenta activa; min 5K-20K/mes","Core muy fuerte pero dependiente de terceros para KYC y PLD","Intelligential ofrece stack completo Mexico-first (core + KYC + PLD)","Usar Mambu + vendors de KYC/PLD aumenta complejidad regulatoria y operativa"
Core internacional,Core,COBIS Topaz,"Core tradicional cooperativas LATAM","Datos de cuentas y prestamos","Limitado","USD 100K-500K+ implementacion + licencia anual","Core pesado, poca flexibilidad digital","Intelligential reduce time-to-value y costo inicial","Implementaciones largas pueden dejar brechas de cumplimiento durante el rollout"
Core internacional,Core,Temenos,"Core bancario global enterprise","Datos core multi-pais","PLD robusto pero enterprise","USD 1M-10M+ implementacion","Core premium para bancos grandes","Intelligential es opcion accesible y enfocada a lenders mexicanos","Sobre-especificacion y costo puede frenar ajustes ante cambios regulatorios locales"
Core internacional,Pagos/Core,Fiserv,"Procesamiento y pagos","Transacciones y medios de pago","Si (orientado a pagos)","Enterprise por transaccion/volumen","Fuerte en pagos, menos en credito","Intelligential se enfoca en administracion de cartera y riesgo de credito","Separar core de pagos y core de credito puede complicar conciliaciones regulatorias"
Core internacional,Core,PiSA,"Solucion financiera/core regional","Datos de cuentas y creditos","Depende del modulo","USD 5K-20K/mes","Core generico multi-segmento","Intelligential destaca en PLD/FT embebido y UX digital","Module PLD externo puede quedar desalineado del flujo operativo real"
Core local,Core,Dynamicore,"Core para SOFOMes y lenders","Datos de cartera y credito","Parcial","MXN 15K-60K/mes estimado","Oferta similar de core sin onboarding integral nativo","Intelligential suma onboarding digital, KYC y PLD en el mismo stack","Core sin onboarding genera procesos manuales y mayor riesgo humano"
Core local,Core,ASCENDES,"Core para SOFOMes/microfinanzas","Nómina, microfinanzas, credito grupal","Parcial PLD","MXN 5K-30K/mes estimado","Fuerte en modelos de microcredito","Intelligential ofrece flexibilidad de productos y PLD integrado","PLD parcial en modelos de grupo puede exponer operaciones en auditorias"
Core local,Core,SIAC,"Core para cooperativas y microfinanzas","Datos de cuentas y prestamos","PLD segun modulo","MXN 3K-15K/mes estimado","Legacy en sector cooperativo","Intelligential agrega UX moderna, APIs y cumplimiento embebido","Tecnologia legacy dificulta trazabilidad fina exigida por reguladores"
Core local,Core,ZELL,"Core especializado en credito de nómina","Datos de nomina y descuento por payroll","PLD basico","MXN 10K-60K/mes estimado","Nicho en nomina","Intelligential puede operar nomina mas otros productos en un solo core","PLD basico para nomina puede ser insuficiente ante cambios regulatorios"
Core local,Core,CIB,"Core para instituciones medianas reguladas","Datos de cartera y operaciones","Desconocido","No publico","Informacion limitada","Intelligential se posiciona como alternativa transparente cloud-native","Opacidad en funciones de PLD aumenta incertidumbre en compliance"
Core local,Core,EFISYS,"Core para microfinanzas/SOFIPOs","Creditos solidarios y bancos comunitarios","PLD para productos especificos","Accesible","Enfocado en precio y segmentos populares","Intelligential prioriza control de riesgo y escalabilidad sobre solo costo","Enfoque exclusivamente en precio puede sacrificar capacidades de monitoreo"
Core local,Core,SOFTCREDITO,"Core on-prem/SaaS basico para SOFOMes pequeñas","Datos de cartera en infraestructura propia","PLD minimo","Licencia on-prem/SaaS basico","Orientado a instituciones pequeñas con recursos limitados","Intelligential elimina infraestructura propia y deuda tecnica","On-prem dificulta actualizacion rapida ante nuevas normas PLD/FT"
Core local,Core,LENDUS,"Core para SOFOMes/cooperativas/cajas de ahorro","Datos de cartera y clientes","PLD configurable","MXN 5K/mes estimado","Competidor cercano en segmento","Intelligential agrega KYC y SAT nativos + concepto Smart Native®","PLD configurable sin KYC nativo puede dejar huecos de identidad y origen de fondos"
